爬虫類開店準備
爬虫類器水洗い
亀天日干し
イグアナ天日干し
ミーア出勤、ゲージ掃除
ミーアゲージ水洗い
ケープ出勤
ケープゲージ水洗い
ケープ展示場床材替え
うさぎゲージ掃除、開店準備
うさぎゲージ水洗い
ぽん助掃除
チンチラゲージ掃除
デグー開店準備
猫出勤
猫トイレ掃除
カワセミ日光浴、ゲージ掃除
モルモット出勤、ゲージ掃除
小動物出勤
ハムスター餌やり
ハムスター床材替え
ハムスター展示場床材替え
ジャービル出勤
ヤマネ出勤
掃除機がけ
猫部屋掃除機がけ
モップがけ
セラセット
ゴミ袋セット
水ボトルセット
おやつ作成
うさぎ、モルモット餌水やり
ハリネズミ掃除、餌水やり
猫ゲージ掃除、餌やり
ミーアキャット餌やり
ケープ餌水セッティング
ヤマネ、ジャービル床材替え
ヤマネ、ジャービル餌水セッティング
ハムスター床材替え
雑巾干し
フロア接客
受付
呼び込み
受付
昼休憩
呼び込み
受付
フロア接客
サバモニ餌やり
爬虫類虫餌やり
爬虫類餌準備
デグー餌やり
バロンゲージトイレ掃除
ジャービル、ヤマネ帰宅
うさぎ展示場掃除
うさぎ移動
ケープ帰宅、ガラス掃除
ミーア帰宅、ガラス掃除
ぽん助餌やり
モルモット帰宅
ゴミ収集、捨て
フクロウ糞掃除
雑巾洗い
生体確認、ゲージ扉確認
